,checkpoint_link,checkpoint_file,config_file
0,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18s_512x512_80k_ade20k/fcn_hr18s_512x512_80k_ade20k_20200614_144345-77fc814a.pth,fcn_hr18s_512x512_80k_ade20k_20200614_144345-77fc814a.pth,configs/hrnet/fcn_hr18s_512x512_80k_ade20k.py
1,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18_512x512_80k_ade20k/fcn_hr18_512x512_80k_ade20k_20200614_185145-66f20cb7.pth,fcn_hr18_512x512_80k_ade20k_20200614_185145-66f20cb7.pth,configs/hrnet/fcn_hr18_512x512_80k_ade20k.py
2,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr48_512x512_80k_ade20k/fcn_hr48_512x512_80k_ade20k_20200614_193946-7ba5258d.pth,fcn_hr48_512x512_80k_ade20k_20200614_193946-7ba5258d.pth,configs/hrnet/fcn_hr48_512x512_80k_ade20k.py
3,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18s_512x512_160k_ade20k/fcn_hr18s_512x512_160k_ade20k_20200614_214413-870f65ac.pth,fcn_hr18s_512x512_160k_ade20k_20200614_214413-870f65ac.pth,configs/hrnet/fcn_hr18s_512x512_160k_ade20k.py
4,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18_512x512_160k_ade20k/fcn_hr18_512x512_160k_ade20k_20200614_214426-ca961836.pth,fcn_hr18_512x512_160k_ade20k_20200614_214426-ca961836.pth,configs/hrnet/fcn_hr18_512x512_160k_ade20k.py
5,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr48_512x512_160k_ade20k/fcn_hr48_512x512_160k_ade20k_20200614_214407-a52fc02c.pth,fcn_hr48_512x512_160k_ade20k_20200614_214407-a52fc02c.pth,configs/hrnet/fcn_hr48_512x512_160k_ade20k.py
