,checkpoint_link,checkpoint_file,config_file
0,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr18s_512x512_80k_ade20k/ocrnet_hr18s_512x512_80k_ade20k_20200615_055600-e80b62af.pth,ocrnet_hr18s_512x512_80k_ade20k_20200615_055600-e80b62af.pth,configs/ocrnet/ocrnet_hr18s_512x512_80k_ade20k.py
1,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr18_512x512_80k_ade20k/ocrnet_hr18_512x512_80k_ade20k_20200615_053157-d173d83b.pth,ocrnet_hr18_512x512_80k_ade20k_20200615_053157-d173d83b.pth,configs/ocrnet/ocrnet_hr18_512x512_80k_ade20k.py
2,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr48_512x512_80k_ade20k/ocrnet_hr48_512x512_80k_ade20k_20200615_021518-d168c2d1.pth,ocrnet_hr48_512x512_80k_ade20k_20200615_021518-d168c2d1.pth,configs/ocrnet/ocrnet_hr48_512x512_80k_ade20k.py
3,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr18s_512x512_160k_ade20k/ocrnet_hr18s_512x512_160k_ade20k_20200615_184505-8e913058.pth,ocrnet_hr18s_512x512_160k_ade20k_20200615_184505-8e913058.pth,configs/ocrnet/ocrnet_hr18s_512x512_160k_ade20k.py
4,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr18_512x512_160k_ade20k/ocrnet_hr18_512x512_160k_ade20k_20200615_200940-d8fcd9d1.pth,ocrnet_hr18_512x512_160k_ade20k_20200615_200940-d8fcd9d1.pth,configs/ocrnet/ocrnet_hr18_512x512_160k_ade20k.py
5,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr48_512x512_160k_ade20k/ocrnet_hr48_512x512_160k_ade20k_20200615_184705-a073726d.pth,ocrnet_hr48_512x512_160k_ade20k_20200615_184705-a073726d.pth,configs/ocrnet/ocrnet_hr48_512x512_160k_ade20k.py
