,checkpoint_link,checkpoint_file,config_file
0,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/fcn_m-v2-d8_512x512_160k_ade20k/fcn_m-v2-d8_512x512_160k_ade20k_20200825_214953-c40e1095.pth,fcn_m-v2-d8_512x512_160k_ade20k_20200825_214953-c40e1095.pth,configs/mobilenet_v2/fcn_m-v2-d8_512x512_160k_ade20k.py
1,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/pspnet_m-v2-d8_512x512_160k_ade20k/pspnet_m-v2-d8_512x512_160k_ade20k_20200825_214953-f5942f7a.pth,pspnet_m-v2-d8_512x512_160k_ade20k_20200825_214953-f5942f7a.pth,configs/mobilenet_v2/pspnet_m-v2-d8_512x512_160k_ade20k.py
2,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/deeplabv3_m-v2-d8_512x512_160k_ade20k/deeplabv3_m-v2-d8_512x512_160k_ade20k_20200825_223255-63986343.pth,deeplabv3_m-v2-d8_512x512_160k_ade20k_20200825_223255-63986343.pth,configs/mobilenet_v2/deeplabv3_m-v2-d8_512x512_160k_ade20k.py
3,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/deeplabv3plus_m-v2-d8_512x512_160k_ade20k/deeplabv3plus_m-v2-d8_512x512_160k_ade20k_20200825_223255-465a01d4.pth,deeplabv3plus_m-v2-d8_512x512_160k_ade20k_20200825_223255-465a01d4.pth,configs/mobilenet_v2/deeplabv3plus_m-v2-d8_512x512_160k_ade20k.py
